image_name,prediction,confidence_score
03 Chiltepin Dubaral Cdy00048.JPG,cheetah,0.99
07 Chiltepin Pavos.JPG,mosquito net,0.99
09 Chiltepin Dubaral CDY_0147.JPG,dust jacket,0.99
05 Chiltepin Pavos CDY_0094.JPG,American alligator,0.99
08 Chiltepin Dubaral CDY_0113.JPG,leatherback sea turtle,0.99
06 Chiltepin Dubaral CDY_0026.JPG,American alligator,0.99
01 Chiltepin Babisal Cdy00004_R1.JPG,envelope,0.99
10 Chiltepin Pavos CDY_0039.JPG,eel,0.99
04 Chiltepin Dubaral  CDY_0078.JPG,airship,0.99
02 Chiltepin Babisal Cdy00060.JPG,shipwreck,0.99
